start_day,end_day,duration_days,start_index,end_index,max_abs_jump_in_period,num_triggered_steps_merged
8.333333333333334,9.083333333333334,0.75,200,218,1.125,1
73.83333333333333,88.25,14.416666666666671,1772,2118,32.875,2
89.125,90.91666666666667,1.7916666666666714,2139,2182,1.625,2
96.125,96.83333333333333,0.7083333333333286,2307,2324,2.25,1
109.91666666666667,110.0,0.0833333333333286,2638,2640,1.75,1
150.83333333333334,151.83333333333334,1.0,3620,3644,9.875,1
161.625,161.875,0.25,3879,3885,6.25,1
287.8333333333333,288.5833333333333,0.75,6908,6926,49.875,1
291.5833333333333,291.625,0.041666666666685614,6998,6999,1.125,1
304.4583333333333,304.5416666666667,0.08333333333337123,7307,7309,6.25,1
338.0,339.125,1.125,8112,8139,10.375,1
461.6666666666667,461.875,0.20833333333331439,11080,11085,20.75,1
499.6666666666667,501.5833333333333,1.9166666666666288,11992,12038,32.875,1
564.5833333333334,565.7083333333334,1.125,13550,13577,3.125,2
570.7083333333334,571.75,1.0416666666666288,13697,13722,39.0,1
601.125,601.4583333333334,0.33333333333337123,14427,14435,5.75,1
614.2083333333334,614.2916666666666,0.08333333333325754,14741,14743,4.125,1
623.0,623.3333333333334,0.33333333333337123,14952,14960,3.625,1
652.2916666666666,653.4166666666666,1.125,15655,15682,12.125,1
699.0833333333334,699.1666666666666,0.08333333333325754,16778,16780,4.625,1
699.8333333333334,699.9166666666666,0.08333333333325754,16796,16798,7.0,1
726.375,727.9583333333334,1.5833333333333712,17433,17471,13.0,1
752.8333333333334,753.0416666666666,0.20833333333325754,18068,18073,4.375,1
790.75,790.8333333333334,0.08333333333337123,18978,18980,8.125,1
810.5416666666666,810.8333333333334,0.29166666666674246,19453,19460,11.625,1
811.4166666666666,811.4583333333334,0.04166666666674246,19474,19475,2.0,1
839.375,839.4583333333334,0.08333333333337123,20145,20147,7.625,1
843.2083333333334,843.25,0.04166666666662877,20237,20238,1.25,1
920.4166666666666,920.5416666666666,0.125,22090,22093,30.625,1
927.125,927.1666666666666,0.04166666666662877,22251,22252,2.0,1
943.1666666666666,943.25,0.08333333333337123,22636,22638,3.75,1
958.3333333333334,958.4166666666666,0.08333333333325754,23000,23002,4.625,1
